Q2_Q2_1,Q2_Q2_2,Q2_Q2_3,Q2_Q2_4,Q2_Q2_5,Q2_Q2_6,Q2_Q2_7,Q2_Q2_8,Q2_Q2_9,Q2_Q2_10,Q2_Q2_11,Q2_Q2_12,Q2_Q2_13,Q3_Q3_1,Q3_Q3_2,Q3_Q3_3,Q3_Q3_4,Q3_Q3_5,Q4_Q4_1,Q4_Q4_2,Q4_Q4_3,Q4_Q4_4,Q4_Q4_5,Q5_Q5_1,Q5_Q5_2,Q5_Q5_3,Q5_Q5_4,Q5_Q5_5,Q7_Q7_1,Q7_Q7_2,Q7_Q7_3,Q7_Q7_4,Q8_Q8_1,Q8_Q8_2,Q10,Q11,Q12,Q13,Q14,Student,Q24,Q17,Q18,Q9
3,5,5,3,4,3,5,5,3,3,3,3,6,4,5,5,5,4,4,4,4,4,4,5,5,4,5,6,4,3,3,4,5,6,2,10,0,0,3,AFelipeGA,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Prefer not to respond,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
2,5,2,2,3,3,5,4,3,4,3,4,5,1,5,3,4,3,3,6,5,3,4,1,1,3,3,4,0,1,1,2,3,2,2,0,0,5,3,hsmartineza,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,2,6,2,2,2,6,5,3,6,4,6,6,6,5,5,5,4,4,2,4,3,4,3,2,5,3,6,0,2,1,2,5,5,2,0,0,8,5,anfmorenoso,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,Yes
4,4,3,0,0,0,6,6,5,6,0,0,6,3,5,5,6,5,0,0,0,0,0,0,0,4,0,5,0,0,0,0,5,4,2,0,0,0,2,kancas,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
1,5,5,2,2,3,5,4,3,4,4,4,6,3,4,3,5,4,6,2,6,3,6,3,3,4,0,4,1,2,1,1,5,5,4,8,3,20,5,lacardenasv,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Female,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,4,4,2,4,2,5,4,5,5,3,4,5,3,4,5,3,5,3,3,2,4,3,3,2,4,2,5,1,2,1,3,4,3,2,1,0,0,2,sacastroc,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
0,2,3,2,2,4,5,5,4,5,1,1,3,3,4,4,4,4,5,5,5,5,5,3,3,4,3,4,1,4,0,4,4,5,2,5,5,8,5,ivdgonzalezco,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,5,4,3,4,5,5,4,4,5,3,4,4,5,5,4,4,5,5,4,5,4,5,5,4,5,4,5,5,4,5,5,5,4,2,5,0,0,4,fabianr23,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,3,6,3,4,5,6,4,5,5,4,4,5,4,6,6,6,5,4,4,5,4,5,3,2,4,3,5,1,2,1,4,4,3,1,0,0,5,2,srmedinac,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,Yes
3,6,6,4,5,5,6,6,5,5,5,5,6,4,5,5,4,6,5,4,5,5,6,5,2,5,2,5,1,0,0,1,4,4,2,5,5,7,4,annipi,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Female,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
